id,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts22426,SHOW,2014,TV-14,24,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy']",2,7.1,3273,55.055,7.8
ts42168,SHOW,2014,TV-14,57,"['war', 'action', 'drama', 'history']",5,7.9,35515,23.136,7.7
ts22383,SHOW,2013,TV-Y7,10,"['comedy', 'animation', 'family', 'european']",4,5.5,1802,18.955,6.2
ts11794,SHOW,2013,TV-Y,19,"['animation', 'fantasy', 'scifi', 'comedy', 'family']",3,6.4,620,5.963,7.8
ts20310,SHOW,2014,TV-14,42,"['comedy', 'drama']",5,6.9,4523,10.046,5.5
ts35244,SHOW,2014,TV-PG,43,['reality'],5,7.1,1126,8.872,7.5
ts82979,SHOW,2014,TV-G,11,"['comedy', 'drama', 'family', 'action', 'animation', 'fantasy', 'european']",5,6.1,411,34.469,8.3
ts10206,SHOW,2013,TV-Y7,30,"['action', 'comedy', 'drama', 'family', 'fantasy', 'music', 'romance', 'animation']",5,7.7,1130,34.405,7.8
ts20709,SHOW,2013,TV-14,24,"['comedy', 'drama', 'sport', 'animation']",4,7.7,808,44.311,7.4
ts32060,SHOW,2013,TV-G,24,"['drama', 'family', 'comedy']",1,5.6,9507,37.963,7.9
ts20790,SHOW,2014,TV-14,21,"['comedy', 'drama', 'romance']",5,7.3,15627,26.61,6.7
ts20883,SHOW,2014,TV-G,23,"['comedy', 'family']",4,5.1,2551,43.714,7.5
ts33590,SHOW,2013,TV-G,24,"['comedy', 'family', 'fantasy']",2,5,2471,23.622,7.1
ts21368,SHOW,2014,TV-MA,90,"['action', 'drama', 'romance', 'crime']",2,7.4,5975,47.857,8.1
ts2161,SHOW,2013,TV-Y,2,"['comedy', 'family', 'fantasy', 'animation', 'action', 'european']",4,6.2,800,12.303,6.7
ts34066,SHOW,2013,TV-G,25,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",4,6.7,3924,54.741,7.6
ts53641,SHOW,2013,TV-Y,23,['animation'],3,6.4,104,0.975,4
ts37187,SHOW,2014,TV-MA,43,"['crime', 'drama', 'romance']",5,6.8,375,128.933,7.7
ts58137,SHOW,2013,TV-Y7,22,"['action', 'animation', 'comedy', 'drama', 'family', 'fantasy', 'scifi']",3,4.8,635,16.672,7.4
ts75104,SHOW,2014,TV-MA,45,"['crime', 'action']",2,6.2,660,2.366,6.3
ts521,SHOW,2013,TV-14,41,['reality'],9,4.6,459,12.706,8.5
ts33840,SHOW,2013,TV-14,23,"['scifi', 'animation', 'drama', 'fantasy', 'romance']",2,7.3,1152,29.64,7.4
ts58010,SHOW,2014,TV-G,18,"['comedy', 'family', 'music', 'animation']",4,4.3,300,6.244,5.5
ts16117,SHOW,2013,TV-MA,45,"['action', 'drama', 'romance']",1,7.3,1681,2.902,8
ts76743,SHOW,2013,TV-G,23,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'family']",2,6.3,188,8.391,8.2
ts75833,SHOW,2014,TV-Y,5,"['animation', 'family']",1,6.1,65,8.658,5.7
ts3799,SHOW,2014,TV-Y7,23,"['action', 'comedy', 'family', 'fantasy', 'animation']",5,7,2008,41.022,6.8
ts35628,SHOW,2014,TV-G,25,"['comedy', 'documentation', 'reality']",4,8.5,22,16.83,7.1
ts20781,SHOW,2014,TV-14,73,"['drama', 'comedy']",1,8.6,1883,10.121,9.1
ts34074,SHOW,2013,TV-MA,63,['drama'],1,7.6,1803,3.764,7.5
ts122290,SHOW,2014,TV-14,44,['drama'],1,8.2,247,0.6,10
ts82860,SHOW,2014,TV-14,44,['drama'],1,7.6,11,0.6,6
ts36127,SHOW,2013,TV-PG,19,"['animation', 'family', 'comedy', 'sport', 'scifi', 'action']",3,6.5,593,12.093,8.5
